,Location,Period,Dim1,First Tooltip,No
542,阿塞拜疆,2019,Female,1.48,AZ
543,阿塞拜疆,2018,Both sexes,3.92,AZ
544,阿塞拜疆,2018,Male,6.52,AZ
545,阿塞拜疆,2018,Female,1.49,AZ
546,阿塞拜疆,2017,Both sexes,3.91,AZ
547,阿塞拜疆,2017,Male,6.48,AZ
548,阿塞拜疆,2017,Female,1.53,AZ
549,阿塞拜疆,2016,Both sexes,3.92,AZ
550,阿塞拜疆,2016,Male,6.51,AZ
551,阿塞拜疆,2016,Female,1.54,AZ
552,阿塞拜疆,2015,Both sexes,3.99,AZ
553,阿塞拜疆,2015,Male,6.64,AZ
554,阿塞拜疆,2015,Female,1.56,AZ
555,阿塞拜疆,2014,Both sexes,4.1,AZ
556,阿塞拜疆,2014,Male,6.83,AZ
557,阿塞拜疆,2014,Female,1.59,AZ
558,阿塞拜疆,2013,Both sexes,4.19,AZ
559,阿塞拜疆,2013,Male,6.99,AZ
560,阿塞拜疆,2013,Female,1.63,AZ
561,阿塞拜疆,2012,Both sexes,4.31,AZ
562,阿塞拜疆,2012,Male,7.12,AZ
563,阿塞拜疆,2012,Female,1.75,AZ
564,阿塞拜疆,2011,Both sexes,4.44,AZ
565,阿塞拜疆,2011,Male,7.33,AZ
566,阿塞拜疆,2011,Female,1.8,AZ
567,阿塞拜疆,2010,Both sexes,4.53,AZ
568,阿塞拜疆,2010,Male,7.44,AZ
569,阿塞拜疆,2010,Female,1.87,AZ
570,阿塞拜疆,2009,Both sexes,4.64,AZ
571,阿塞拜疆,2009,Male,7.62,AZ
572,阿塞拜疆,2009,Female,1.92,AZ
573,阿塞拜疆,2008,Both sexes,4.79,AZ
574,阿塞拜疆,2008,Male,7.86,AZ
575,阿塞拜疆,2008,Female,1.99,AZ
576,阿塞拜疆,2007,Both sexes,5.0,AZ
577,阿塞拜疆,2007,Male,8.17,AZ
